Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Shri Surender Rana, Editor, Hind Hariyali, Siraspur, Delhi against. police authorities, Delhi.;June 28, 1996;Dismissed for non-prosecution;Harassment of Newsmen;AnnualReport1997
2. Complaint of Shri Ved Gupta, Editor, Doon Ujala (Weekly) Dehradun (U.P.) against 'The Station House Officer', Dehradun Cantt. Police Station, Dehradun (U.P.);June 28, 1996;Settled;Harassment of Newsmen;AnnualReport1997
3. Complaint of Shri Atul Kumar Maheshwari, Editor, Amar Ujala, Meerut against Shri Vijay Singh, Sr. Superintendent of Police, Meerut.;June 28, 1996;Upheld;Harassment of Newsmen;AnnualReport1997
4. Complaint of Shri Hardwari Lal Gupta, 'Vivadi' Chief Editor, Jan Atma, Hindi daily, Badaun, U.P. against District Administration, Badaun (U.P.);June 28, 1996;Dismissed for non-prosecution;Harassment of Newsmen;AnnualReport1997
5. Complaint of Shri Pradeep Kumar Jain, Journalist, Amar Ujala, Bijnor against SHO, Nageena, Bijnor.;June 28, 1996;Upheld;Harassment of Newsmen;AnnualReport1997
6. Complaint of Shri Anil Shukla (Journalist), special correspondent, Dainik Sanskritik Kranti, Lakhimpur-Khiri, (U.P.) against Shri Amar Dutt Misra, Superintendent of Police, Lakhimpur-Khiri (U.P.);June 28, 1996;Matter not pursued (Dismissed);Harassment of Newsmen;AnnualReport1997
7. Complaint of Editor, Nakheeran, Tamil Weekly, Madras against Shri Rajan Chellapa, Ex-M.P., Madurai,;September 25, 1996;Upheld;Harassment of Newsmen;AnnualReport1997
8. Complaint of Shri G R Pratap Rudra, Editor, Kortgere Vartha, Kortgere, Karnataka against Shri Padmanabha Raja Urs, Tehsildar, Madhugiri Taluk, Tumkur District, Karnataka.;September  25, 1996;Upheld Displeasure Expressed;Harassment of Newsmen;AnnualReport1997
9. Suo Motu action regarding snatching of camera of Mr. Mahendra Parikh, Lensman, Indian Express.;September  25, 1996;Upheld, Assault established, compensation recommended;Harassment of Newsmen;AnnualReport1997
10. Complaint of Shri B S Parwana, Owner, Printer and Publisher, Veer Parwana Times, Hindi Monthly, Delhi against Shahdara Municipal Corporation and Police authorities.;September  25, 1996;Matter sub-judice, Police protection recommended;Harassment of Newsmen;AnnualReport1997
11. Complaint of Shri Radheyshyam Dantre, Reporter, Jalaon, U.P. against Administration of U.P.;September  25, 1996;Sub-judice;Harassment of Newsmen;AnnualReport1997
12. Complaint of Shri Rajender Kumar Gupta, Editor, Rajdeep Sandesh, Agra against Police authorities, Agra.;September  25, 1996;Sub-judice;Harassment of Newsmen;AnnualReport1997
13. Complaint of Shri B N Singhal, Chief Editor, Nai Sadi Point, Ghaziabad against Shri Naresh Shishodia, Jr, Engr. GDA and Police authorities (U.P.);September  25, 1996;Directions to proceed with prosecution ;Harassment of Newsmen;AnnualReport1997
14. Complaint of Shri Vijay Kumar Bavara, Journalist, Patliputra Times, Sahebganj against local police authorities.;September  25, 1996;Sub-judice;Harassment of Newsmen;AnnualReport1997
15. Complaint of Shri Jatashankar, Correspon-dent, Kashi Pratiman, Varanasi against the District Magistrate, Mirzapur.;November 15,1996;Dismissed on merits;Harassment of Newsmen;AnnualReport1997
16. Complaint of Shri Shadab Hussain, District Correspondent, Jaded Market, Baharaich, (U.P.) against Police Authorities, Baharaich (U.P.).;November 15,1996;Disposed with observations;Harassment of Newsmen;AnnualReport1997
