Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Shri Azadar Zaidi, Editor,Worse, Hindi Weekly, Jaipur against police authorities, Jaipur ;May 6,2004;Disposed of with directions ;Harassment of Newsmen;AnnualReport2005
2. Complaint of The Publisher, Labana Jagriti Sandesh, Ajmer, Rajasthan against The Director General, Directorate of Advertising and Visual Publicity (DAVP), New Delhi ;May 6,2004;Disposed of with directions;Facilities to the Press;AnnualReport2005
3. Complaint of Shri Satya Pal Yuvak, Editor of Nirman Sandesh, Hindi Fortnightly, Jaipur-Rajasthan, Jaipur against Director, the Information and Public Department, Relations Government of Rajasthan. ;May 6,2004;Direction to respondent;Facilities to the Press;AnnualReport2005
4. Complaint of Shri Tapan Correspondent, Chakravarti, Business Ranchi Standard, (Jharkhand) against Secretary, The Chief Government ofJharkhand and The Director, Information Relations & Public Department, Government Of Jharkhand ;May 6,2004;Disposed of with directions;Facilities to the Press;AnnualReport2005
