;Person;Affiliation;PrimaryKey
123;Editor; Mid-Day; np.int64(268)
124;Editor; Dainik Nai Duniya; np.int64(283)
125;Editor; District Magistrate; np.int64(299)
126;Editor; Shri. Vijay Trimbak Gokhale; np.int64(317)
127;Editor; Sakshi; np.int64(327)
128;Editor; Prajasakthi; np.int64(338)
129;Editor; Yuvakraanth-kaarigal Asthra; np.int64(343)
130;Editor; Parivarik Dastak; np.int64(369)
131;Editor; Dainik Jagarn; np.int64(388)
132;Editor; Pariwarik Dastak; np.int64(397)
133;Editor; Hari Bhumi; np.int64(398)
134;Editor; Dainik Jaltedeep; np.int64(412)
135;Editor; Indraprastha News Reporter; np.int64(415)
136;Editor; Mid-Day; np.int64(416)
137;Editor; lucknow; np.int64(437)
138;Editor; Mid Day; np.int64(493)
139;Editor; Hum Paanch; np.int64(504)
140;Editor; DainikBhaskar; np.int64(519)
141;Editor; DainikBhaskar; np.int64(521)
142;Editor; M.P.; np.int64(522)
143;Editor; DabangKhabrein; np.int64(545)
144;Editor; Him Himwanti; np.int64(547)
145;Editor; M.P.; np.int64(567)
146;Editor; Railwarta; np.int64(588)
147;Editor; Amar Ujala; np.int64(598)
148;Editor; Deshabhimani; np.int64(620)
149;Editor; Parivartanka Daur; np.int64(651)
150;Editor; Haribhumi; np.int64(658)
151;Editor; Agniban; np.int64(661)
152;Editor; Shri lalan Rai; np.int64(664)
153;Editor; Amar Ujala; np.int64(668)
154;Editor; The Editor; np.int64(682)
155;Editor; The Editor; np.int64(683)
156;Editor; The Editor; np.int64(684)
157;Editor; The Editor; np.int64(685)
158;Editor; The Editor; np.int64(686)
159;Editor; The Editor; np.int64(688)
160;Editor; The Editor; np.int64(690)
161;Editor; The Editor; np.int64(691)
162;Editor; The Editor; np.int64(693)
163;Editor; The Editor; np.int64(694)
164;Editor; The Editor; np.int64(696)
165;Editor; The Editor; np.int64(697)
166;Editor; The Editor; np.int64(698)
167;Editor; Dainik Kelo Pravah; np.int64(699)
168;Editor; The Editor; np.int64(701)
169;Editor; The Editor; np.int64(703)
170;Editor; The Editor; np.int64(704)
171;Editor; The Editor; np.int64(705)
172;Editor; The Editor; np.int64(706)
173;Editor; The Editor; np.int64(707)
174;Editor; The Editor; np.int64(708)
175;Editor; The Editor; np.int64(709)
176;Editor; The Editor; np.int64(711)
177;Editor; The Editor; np.int64(712)
178;Editor; The Editor; np.int64(713)
179;Editor; The Editor; np.int64(714)
180;Editor; The Editor; np.int64(715)
181;Editor; The Editor; np.int64(716)
182;Editor; The editor; np.int64(717)
183;Editor; Jag Utthan; np.int64(735)
184;Editor; Rashtriya Swaroop; np.int64(768)
185;Editor; Janvani; np.int64(770)
186;Editor; Asli Azadi; np.int64(771)
187;Editor; loksatya; np.int64(789)
188;Editor; Rashtradoot; np.int64(815)
189;Editor; Prajavaadi; np.int64(819)
190;Editor; Odissa; np.int64(820)
191;Editor; Odissa; np.int64(823)
192;Editor; Samaya; np.int64(824)
193;Editor; Prameya; np.int64(825)
194;Editor; Hamara Mahanagar; np.int64(827)
195;Editor; Sahafat; np.int64(830)
196;Editor; Yashobhoomi; np.int64(832)
197;Editor; Maru lahar; np.int64(843)
198;Editor; Maru lehar; np.int64(845)
199;Editor; Paschimi Sandesh; np.int64(848)
200;Editor; Dainik; np.int64(850)
201;Editor; Meri Dilli; np.int64(854)
202;Editor; Jag Utthan; np.int64(856)
203;Editor; Veer Arjun; np.int64(857)
204;Editor; Lokdarshan; np.int64(905)
205;Editor; Sakal; np.int64(906)
206;Editor; Nyayada Haadi; np.int64(910)
207;Editor; Edda Dwani; np.int64(914)
208;Editor; Bhanu Gunj; np.int64(923)
209;Editor; Don of India; np.int64(947)
210;Editor; Jan Madhyam; np.int64(949)
211;Editor; Rashtra Deepika; np.int64(973)
212;Editor; Hai GuduguSidiliu; np.int64(977)
213;Editor; Prajegale Prabhugale; np.int64(979)
214;Editor; Karunad; np.int64(982)
