Complaint;Date;Status;ComplaintType;Report_name
1. Complaint of Sh. Sunil Chaddha, Chacha General Store, Inder Gunj Chauraha, Gwalior, against Dainik Aaj, Gwalior, M.P.;May 16, 1994;Dismissed;Principles and Publications;AnnualReport1995
"2. Complaint of Sh. Dinesh Kumar of Delhi against ""The Pioneer' English Daily, New Delhi.";August  1, 1994;Rejoinder directed;Principles and Publications;AnnualReport1995
3. Complaint of Sh. Rakesh Kapoor of New Delhi against 'The Pioneer' English daily, New Delhi.;August  1, 1994;Contradiction directed;Principles and Publications;AnnualReport1995
4. Complaint of Sh. C. Anthony Louis of Bombay against Indian Express, English daily, New Delhi.;August  1, 1994;Disposed with observations;Principles and Publications;AnnualReport1995
5. Complaint of Under Secretary to the Govt. of Assam, Home (B) Department, Assam against 'Dainik Sonar Cachar' Bengali daily.;August  1, 1994;Warned;Principles and Publications;AnnualReport1995
b. Complaint of Under Secretary to the Govt. of Assam, Home (B) Department, Assam against Frontier Sun, English daily of Silchar, Assam.;August  1, 1994;Warned;Principles and Publications;AnnualReport1995
6. Complaint of General Manager, Sin-ghal Pesticides, Agra against Rashtriya Sahara.;October 10, 1994;Censured;Principles and Publications;AnnualReport1995
7. Complaint of Inspector K. S. Bhat-nagar against Sandhya Prahari, Delhi.;October 10, 1994;Warned;Principles and Publications;AnnualReport1995
8. Complaint of Manager, J. A. Inter College, Khurja against Anavaran Gantha, Hindi weekly, Khurja, U.P.;October 10, 1994;Dismissed;Principles and Publications;AnnualReport1995
9. Complaint of Sh. Radhey Shyam Dantrey, Jalon against Aaj, Kanpur, U.P.;October 10, 1994;Warned;Principles and Publications;AnnualReport1995
10. Complaint of Director, Rohtak Medi-cal College, Haryana against Nav Bharat Times, New Delhi.;October 10, 1994;Clarification directed;Principles and Publications;AnnualReport1995
11.Complaint of Sh. Ashok Kumar Gupta, Chief Editor, Golden Punjab against Chandigarh Newsline.;October 10, 1994;Dismissed ;Principles and Publications;AnnualReport1995
11. Complaint of Sh. Ashok Kumar Gupta, Chief Editor, Golden Punjab against Jansatta, Chandigarh.;October 10, 1994;Regret expressed (Dismissed with observations);Principles and Publications;AnnualReport1995
12. Complaint of St. Ann's College of Education, Visakhapatnam against Andhra Bhoomi, Visakhapatnam.;October 10, 1994;Dismissed ;Principles and Publications;AnnualReport1995
13. Complaint of Sh. T. P. Thomas regarding misleading advts.;October 10, 1994;Displeasure expressed;Principles and Publications;AnnualReport1995
14. Complaint of Secretary, Consumers' Protection Council, Trichy against TOI, New Delhi.;May 16, 1994;Deferred Sine-die;Press and Defamation;AnnualReport1995
15. Complaint of Head Master, Govt. Model Basic School, Chhattarpur against Dainik Janhit Darshan, Chhattarpur, M.P.;May 16, 1994;Assurance to publish contradiction (Closed with observation);Press and Defamation;AnnualReport1995
16. Complaint of Sh R. G. Goel, Addl. Director of Education (Sport) Delhi Govt. against Indian Express., New Delhi.;May 16, 1994;Disposed;Press and Defamation;AnnualReport1995
17. Complaint of Pt. Vishnu Kant Shukla, Head of Hindi Deptt, J. V. Jain Col-lege, Saharanpur against Saharanpur Tarang of Saharanpur.;May 16, 1994;Warned;Press and Defamation;AnnualReport1995
18. Complaint of Sh H. N. Nanda Kumar, Municipal Councillor of Madikeri, Karnataka against 'Shakti daily, Karnataka.;May 16, 1994;Respondent to publish gist of adjudication (Dismissed with observations);Press and Defamation;AnnualReport1995
19. Complaint of Mrs. Manali Singhal and Sh. Ravi Singhal against Inde-pendent, Bombay.;May 16, 1994;Warned;Press and Defamation;AnnualReport1995
20. Complaint of Mrs. Manali Singhal and Sh. Ravi Singhal against The Hin-dustan Times, New Delhi.;May 16, 1994;Upheld Displeasure expressed;Press and Defamation;AnnualReport1995
21. Complaint of Sh. Deepak Vohra, New Delhi against Sunday Mail, New Delhi;May 16, 1994;Censured;Press and Defamation;AnnualReport1995
22. Complaint of Ms. Babita Verma of Dehradun against '1970', Hindi fortnightly, Dehradun.;May 16, 1994;Upheld Displeasure expressed;Press and Defamation;AnnualReport1995
23. Complaint of Sh. Mukunddas Mahesh-wari, President, Narmada Nursery against Dainik Jag Samvad, Jabalpur.;May 16, 1994;Censured;Press and Defamation;AnnualReport1995
24. Complaint of Miss Malati. V. Kes-kar of Govt. Medical College, Miraj against Daily Atikeri, Miraj,;Maharashtra.;Disposed of with observations.;Press and Defamation;AnnualReport1995
25. Complaint of Sh. Mahendra Kumar, Proprietor, Shankar Namkeen Bhan-dar, Saharanpur against Chhintey Aur Bouchcharey, Saharanpur.;Maharashtra.;Censured (11th time);Press and Defamation;AnnualReport1995
