Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Ms. Anita Verma, Delhi against 'The Pioneer', New Delhi;June 28, 1996;Censured;Principles and Publications;AnnualReport1997
2.Complaint of M/s. Shiv Shankar Chemicals Industries, (Bihar) Ltd., Bhagalpur against 'The Times of India, New Delhi and Nav Bharat Times, Patna;June 28, 1996;Dismissed for non-prosecution;Principles and Publications;AnnualReport1997
3. Complaint of Shri Jitendra Gupta, Representative, Dr. Parsu Ram Gangwar, M.P., Puranpur, Pilibhit (UP) against Shri Gyanendra Gupta, Correspondent Punjab Kesari;Dismissed on being frivolous;(b) Complaint of Shri Jitendra Gupta, Representative, Dr. Parsu Ram Gangwar, MP, Puranpur, Pilibhit (UP) against Shri Anup Bajpayee, City Correspondent, Amar Ujala, Pilibhit (UP);Principles and Publications;AnnualReport1997
4.Complaint of Hony. Secretary, Indian Medical Association Fatehpur Branch against Dainik Aaj, Lucknow;Dismissed on being frivolous;Upheld;Principles and Publications;AnnualReport1997
5. Complaint of the Public Relations Officer, Telecommunication Department, Kanpur against Rashtriya Sahara, Lucknow;Dismissed on being frivolous;Directions;Principles and Publications;AnnualReport1997
13. Complaint of NDTV, New Delhi against Free Press Journal, Mumbai;September 25, 1996;Settled;Principles and Publications;AnnualReport1997
14. Complaint of Shri Banshidhar Upadhyay, President, Yuvak Congress Committee (I), Bhagalpur against Dainik Aaj, Patna;September 25, 1996;Directed to publish Regret (Disposed);Principles and Publications;AnnualReport1997
15. Complaint of Dr. A.K. Lal, Hony. Secretary, Indian Medical Association, Jamshedpur against The Avenue Mail, Jamshedpur;September 25, 1996;Warned;Principles and Publications;AnnualReport1997
16. Complaint of Ms. Jaya Jaitly, General Secretary, Samata Party, New Delhi against Nav Bharat Times, Patna;September 25, 1996;Withdrawn;Principles and Publications;AnnualReport1997
17. Complaint of Shri Brahmanand Mandal, MP, New Delhi against Dainik Aaj, Patna;September 25, 1996;Admonished;Principles and Publications;AnnualReport1997
18. Complaint of Shri Ram Jatan Sharma, Secretary, Bihar State Committee Communist Party of India, Patna against Dainik Hindustan, Patna;September 25, 1996;Settled;Principles and Publications;AnnualReport1997
"19. Complaint of Dr. A.R. Khan, Orthopaedic Surgeon, District Hospital, Basti against Dainik Jagran for publication of news item captioned ""Durghatna main doctor ghayal"" dated 10.12.1994";November 15, 1996; Upheld;Principles and Publications;AnnualReport1997
20. Complaint of Shri Dilip Kumar Shrivastava, Urai against Jhansi Apradh Samachar Hindi weekly newspaper, Jhansi;November 15, 1996;Condemned (Upheld);Principles and Publications;AnnualReport1997
