Complaint;Date;Status;ComplaintType;Report_name
1. Complaint of Dr. R.K. Aggarwal, Raigarh against Blitz, Delhi edition;April 17,2000;Dismissed on merits;Principles and Publications;AnnualReport2001
2. Complaint of Shri Harish R. Gupta, Vadodara through his Advocate against The Economic Times, Ahmedabad, Gujarat;April 17,2000;Upheld;Principles and Publications;AnnualReport2001
3. Complaint of Shri Dinesh Dhruv, President, Bandhuva Mukti Morcha, Alwar against the Editor, Alwar Bhaskar, Jaipur;April 17,2000;Upheld;Principles and Publications;AnnualReport2001
4. Complaint of Shri Ratender Singh Choudhary, Former Secretary of Agriculture Product Market Committee, Pawta-Jodhpur against the Editor, Alwar Bhaskar, Jodhpur, Rajasthan;April 17,2000;Proceedings dropped;Principles and Publications;AnnualReport2001
5. Complaint of the General Manager, Tele-communication Department, Jodhpur against the Editor, Dainik Bhaskar, Jodhpur, Rajasthan;April 17,2000; Upheld;Principles and Publications;AnnualReport2001
6. Complaint of Dr. M.L. Patel, Surat against Dhabkar, Surat;April 17,2000; Dismissed being baseless;Principles and Publications;AnnualReport2001
7. Complaint of the Additional Collector (Admn.), Chittorgarh and Chief Executive Officer, Shri Sanvalia Ji Mandir Mandal against the Editors of The Pratah Kal and Dainik Bhaskar of Udaipur, Rajasthan;April 17,2000;Dismissed on merits;Principles and Publications;AnnualReport2001
8. Complaint of the Additional Collector (Admn.), Chittorgarh and Chief Executive Officer, Shri Sanvalia Ji Mandir Mandal against the Editors of The Pratah Kal and Dainik Bhaskar of Udaipur, Rajasthan Dismissed on merits;April 17,2000;Dismissed on merits;Principles and Publications;AnnualReport2001
9. Complaint of Shri Kushal Chand Bader, Hon. Secretary, Shri S.S. Jain Subodh Shiksha Samiti, Jaipur against the Editor, Dainik Navjyoti, Jaipur, Rajasthan;April 17,2000;Upheld;Principles and Publications;AnnualReport2001
10. Complaint of Shri Mirchu Mal Israni, Proprietor, Suresh Electronics, Jodhpur against the Editor, Sandhya Dainik Prasanna Times, Jodhpur, Rajasthan;April 17, 2000;Matter not pursued;Principles and Publications;AnnualReport2001
11. Complaint of Shri Subhash Sharma, Officiating Divisional Engineer (Planning), O/o the District Telecom Manager, Telecom Department, Bhilwara against the Editor, Jupitor, Bhilwara, Rajasthan;April 17, 2000;Upheld;Principles and Publications;AnnualReport2001
