Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Shri Gerard Da Cunha, Goa against Editor, Times of India, New Delhi.;June 19, 1995;C;Principles and Publications;AnnualReport1996
2. Complaint of Shri S.N. Sinha, General Manager (P&A) Hindustan Copper Ltd., Indian Copper Complex, District Singhbhum (Bihar) against Editor, Uditvani, Hindi Daily, Jamshedpur.;June 19, 1995;C;Principles and Publications;AnnualReport1996
3. Complaint of Shri C.V. Varadarajan, Ad-ditional Collector of Customs, Calcutta against Financial Express, Calcutta.;June 19, 1995;C;Principles and Publications;AnnualReport1996
4. Complaint of Stock Holding Corporation of India Ltd. Bombay against Indian Ex-press, Bombay.;June 19, 1995;C;Principles and Publications;AnnualReport1996
5.Complaints of (i) Prof. G.S. Paliwal, Prof. & Head, Department of Botany, HNB Garhwal University (ii) Dr. Komal Singh Rajput, Project Officer, HNB Garhwal University against Amar Ujala, Meerut, U.P.;June 19, 1995;A;Principles and Publications;AnnualReport1996
7. Complaint of Pt. Radhey Shyam Sharma, Ex-MLA (U.P.) against Dainik Jagran, Hindi Daily, Aligarh edition. (U.P.);June 19, 1995;A;Principles and Publications;AnnualReport1996
17. Complaint of Shri N.K. Jain, Executive Engineer, PWD, Sambalgarh against Dainik Bhaskar, Gwalior (Madhya Pradesh).;August 4, 1995;D;Principles and Publications;AnnualReport1996
18.Complaint of Shri Dinesh Jain, President Janata Party, Delhi Pradesh against 'Maya Magazine', Allahabad.;October 12, 1995;A;Principles and Publications;AnnualReport1996
19. Complaint of Major General P.C. Kochhar (Retd.), New Delhi against 'The Times of India', New Delhi..;October 12, 1995;A;Principles and Publications;AnnualReport1996
20.Complaint of Shri Paramjit Singh, New Delhi against 'The Hindustan Times', New Delhi (English Daily);October 12, 1995;D;Principles and Publications;AnnualReport1996
21.Complaint of Ms. Seema A.R. Cum- P.S. to Hon'ble Mr. Justice B.L. Hansaria, Judge, Supreme Court of India, New Delhi against 'Itwari Patrika', Jaipur.;October 12, 1995;D;Principles and Publications;AnnualReport1996
22. Complaint of Shri K.S. Bhatnagar, SHO, Timarpur Police Station, Delhi against Sandhya Prahari, Hindi Daily. Delhi.;October 12, 1995;C;Principles and Publications;AnnualReport1996
23. Complaint of Shri Ram Naresh Yadav, District President, U.P. Journalists Asso-ciation, Haridwar, against Dainik Hindustan, Hindi Daily, New Delhi.;October 12, 1995;D;Principles and Publications;AnnualReport1996
24. Complaint of Shri Umesh Kumar Srivastava. Deputy Superintendent of Police, Hapur, Ghaziabad, U.P. against Punjab Kesari, Hindi Daily, Delhi.;October 12, 1995;D;Principles and Publications;AnnualReport1996
25. Complaint of Prof. M.N. Faruqui, Vice Chancellor, Aligarh Muslim University against Amar Ujala, Hindi Daily, Agra.;October 12, 1995;D;Principles and Publications;AnnualReport1996
26. Complaint of Shri Dharam Chand Jain, News paper Agent, Rohtak against Dainik Punjab Kesari,;Ambala edition.;D;Principles and Publications;AnnualReport1996
27. Complaint of Shri Ravindra Kumar Sonar, Advocate, Dhar (M.P.) against the Editor, Dainik;Ambala edition.;D;Principles and Publications;AnnualReport1996
"28. Complaint of Shri P.K. Chandranandan Secretary, District Committee of C.P.I. (M) D.C. Thiruvampady against ""Mathrubhumi"" Kerala.";January 8, 1996;A;Principles and Publications;AnnualReport1996
29. Complaint or Dy. Commissioner of Po-lice, Special Branch (I) C.I.D. Bombay against Editor, Dopahar Ka Saamana, Bombay.;January 8, 1996;A;Principles and Publications;AnnualReport1996
30. Complaint of Shri S.C. Malhotra, Spl. In-spector General of Police, Colaba Bombay against Dopahar;Ka Saamana, Hindi Daily Bombay.;A;Principles and Publications;AnnualReport1996
31. Complaint of Shri G.V. Ashtakar, Dembirli (W) against Editor, The Times of India, Bombay.;Ka Saamana, Hindi Daily Bombay.;B;Principles and Publications;AnnualReport1996
32. Complaint of Shri Subhash Motwani, Di-rector, Institute of Hotel Catering & Tour-ism Management, Radio Bhawan, Colaba, Bombay against Editor, The Times of In-dia, Bombay.;Ka Saamana, Hindi Daily Bombay.;A;Principles and Publications;AnnualReport1996
33.Complaint of Dr. Leo Rebelo, Bombay against the Editor, The Mid-Day, Bombay.;Ka Saamana, Hindi Daily Bombay.;A;Principles and Publications;AnnualReport1996
34. Complaint of Shri Debaprasad Bhattacharya, Calcutta against Editor, The Telegraph, Calcutta.;March 25, 1996;C;Principles and Publications;AnnualReport1996
35.Complaint of Director, Bihar Institute of Technology. District Dhanbad, Bihar against Editor. The Times of India, Patna.;March 25, 1996;A;Principles and Publications;AnnualReport1996
36.Complaint of Director, Bihar Institute of Technology. District Dhanbad, Bihar against Editor, Awaj, Hindi Daily, District Dhanbad, Bihar. (14/439/94).;March 25, 1996;A;Principles and Publications;AnnualReport1996
37.Complaint of Director, Bihar Institute of Technology, District Dhanbad, Bihar against Editor, Prabhat Khabar, District Dhanbad, Bihar.;March 25, 1996;A;Principles and Publications;AnnualReport1996
38.Complaint of Dr. Gagan Dev Prasad, Medical Officer, Primary Health Centre West Champaran, Bihar against Editor, Dainik Hindustan, Patna.;March 25, 1996;B;Principles and Publications;AnnualReport1996
39.Complaint of Shri Lalit Uniyal, Allahabad against Editor, Our Leader, Allahabad. (U.P.).;March 25, 1996;A;Principles and Publications;AnnualReport1996
40. Complaints of Smt. Kushalaya Devi of Hapur against (1) Punjab Kesari, Delhi (2) Jai Yatra, Hindi Weekly. (U.P.).;March 25, 1996;B;Principles and Publications;AnnualReport1996
42.Complaint of Shri Ashutosh Ahluwalia, Managing Director, India Best Power Technology INC, Delhi against Dataquest, English Fortnightly. Delhi.;March 25, 1996;D;Principles and Publications;AnnualReport1996
43.Complaint of Ms. Jaya Jaitly, General Secretary, Samata Party, New Delhi against The Times of India, New Delhi.;March 25, 1996;D;Principles and Publications;AnnualReport1996
