Complaint;Date;Status;ComplaintType;Report_name
﻿1.Complaint of the Government of Tripura, Home Department, Agartala against Syandan Patrika, Bengali Daily, Agartala;July 27, 2007;Cautioned;Principles and Publication;AnnualReport2008
2.Complaint of Dr. S.P. Thirumala Rao, Secretary General, Karnataka State Federation of Consumers’ Organization against Star of Mysore;July 27, 2007;Directions;Principles and Publication;AnnualReport2008
3.Complaint of Shri Hazi Saiyyad Atik Miyan Chisti, Dargah Sharif, Ajmer, Rajasthan against the editor, Dainik Bhaskar, Ajmer, Rajasthan;July 27, 2007;Settled;Principles and Publication;AnnualReport2008
4.Complaint of Superintendent of Police and Collector, Bhind, Madhya Pradesh against Dainik Nav Bharat, Gwalior;July 27, 2007;Dismissed - not pursued;Principles and Publication;AnnualReport2008
5.Complaint of Superintendent of Police and Collector, Bhind, Madhya Pradesh;July 27, 2007;pursued;Principles and Publication;AnnualReport2008
6.Complaint of the President, Jamat-e-Islami Hind, Guwahati against the editor, Dainik Pratidin, Guwahati;July 27, 2007;Upheld;Principles and Publication;AnnualReport2008
7.Complaint of Shri Prasana Kumar, Proprietor AGP Photobank, Malviya Nagar, New Delhi against Incredible India, Durga Dass Publications, New Delhi;July 27, 2007;Sub-judice;Principles and Publication;AnnualReport2008
8.Complaint reference from the Ministry of Home Affairs/Information & Broadcasting, Government of India, New Delhi against Press Trust of India;July 27, 2007;Closed;Principles and Publication;AnnualReport2008
9.Complaint reference from the Ministry of Home Affairs/Information & Broadcasting, Government of India, New Delhi against The Tribune, Chandigarh;July 27, 2007;Closed;Principles and Publication;AnnualReport2008
10.Complaint reference from the Ministry of Home Affairs/Information & Broadcasting, Government of India, New Delhi against Rashtriya Sahara, Noida;July 27, 2007;Closed;Principles and Publication;AnnualReport2008
11.Complaint of Dr. Jagwinder Singh, Medical Officer, PCMC-I, Ludhiana, Punjab against the editor, Daily Ajit, Ludhiana, Punjab;October 4-5, 2007;Closed;Principles and Publication;AnnualReport2008
12.Complaint of Shri Ramesh Lalwani, Ex Advisor, D.O.T., New Delhi against The Hindustan Times, New Delhi;October 4-5, 2007;Directions;Principles and Publication;AnnualReport2008
13.Complaint of Shri Sanjay Bhatia, Director, I&PRD, Lucknow against The Hindustan Times, Lucknow;October 4-5, 2007;Disposed of with directions;Principles and Publication;AnnualReport2008
14.Complaint of Shri Girish Prasad Gupta, Begu Sarai, Bihar against Dainik Jagran, Patna;October 4-5, 2007;Dismissed- devoid of merits;Principles and Publication;AnnualReport2008
15.Complaint of Shri Girish Prasad Gupta, Begu Sarai, Bihar against Dainik Aaj, Patna;October 4-5, 2007;Dismissed- devoid of merits;Principles and Publication;AnnualReport2008
16.Complaint of Prof. K.L.Bhatia, Prant Sangh Chalak, Rashtriya Swaym Sewak Sangh, Jammu, against Dainik Jagran, Noida (U.P.);October 4-5, 2007;Directions;Principles and Publication;AnnualReport2008
17.Complaint of Sr. Superintendent of Police, Jammu against State Times, Jammu;October 4-5,  2007;Censured;Principles and Publication;AnnualReport2008
18.Complaint of Smt. Atul Sharma, Secretary, Sankalp Shiksha Prasar Samiti, Meerut against Punjab Kesari, Delhi;October 4-5,  2007;Censured;Principles and Publication;AnnualReport2008
19.Complaint of Shri P.N. Thakkar, Ahmedabad against Sandesh, Ahmedabad;July 27, 2007;Proceedings dropped;Press and Defamation;AnnualReport2008
20.Complaint of Shri P.N. Thakkar, Ahmedabad against Sandesh, Ahmedabad;July 27, 2007;Proceedings dropped;Press and Defamation;AnnualReport2008
21.Complaint of Shri P.N. Thakkar, Ahmedabad against Sandesh, Ahmedabad;July 27, 2007;Proceedings dropped;Press and Defamation;AnnualReport2008
22.Complaint of Shri P.N. Thakkar, Ahmedabad against Sandesh, Ahmedabad;July 27, 2007;Proceedings dropped;Press and Defamation;AnnualReport2008
23.Complaint of Shri Arun Agarwal, M/s Vikas Trading Company, Meerut against Amar Ujala, Meerut;July 27, 2007;Upheld;Press and Defamation;AnnualReport2008
