Complaint;Date;Status;ComplaintType;Report_name
1. Complaint of Sh. S Ameen H Rizvi against The Statesman, Delhi;June 22, 1992;Observations;Principles and Publications;AnnualReport1993
2. Complaint of Sh. B K Tiwari, Execu-tive Editor, The Deshbandhu against Navbharat, Bilaspur;June 22, 1992;Regret & apology;Principles and Publications;AnnualReport1993
3. Complaint of Editor, Dainik Jagran, Jhansi against Dainik Bhaskar, Jhansi;June 22, 1992;Settled;Principles and Publications;AnnualReport1993
4. Complaint of Mr. Justice P Kodanda Ramayya, Chairman, Special Court, AP Land Grabing (Prohibition) Act, Hyderabad against Indian Ex-press, Hyderabad;September 9, 1992;Rejected with observation;Principles and Publications;AnnualReport1993
b. Complaint of Mr. Justice P. Kodan-da Ramayya, Chairman, Special Court, AP Land Grabing (Prohibi-tion) Act, Hyderabad against Andhra Prabha, Hyderabad;September 9, 1992;Rejected with observation;Principles and Publications;AnnualReport1993
5. Complaint of Mrs. Heidi Brunner of Switzerland against Dainik Bhaskar Jabalpur;September 9, 1992;Upheld;Principles and Publications;AnnualReport1993
b. Complaint of Mrs Heidi Brunner of Switzerland against Satvin Duniya, Bhopal;September 9, 1992;Upheld;Principles and Publications;AnnualReport1993
6. Complaint of Mr. Pablo Bar-tholomew, photographer against 'Sunday' Calcutta;September 9, 1992;upheld;Principles and Publications;AnnualReport1993
7. Complaint of the Chairman Board of Electro Homoeopathic Medicine, Luck-now against Dainik Jagran, Kanpur;September 9, 1992;Settled;Principles and Publications;AnnualReport1993
8. Complaint of the Chairman, Board of Electro Homoeopathic Medicine, Lucknow against Dainik Jagran, Lucknow;September 9, 1992;Publication of rejoinder directed;Principles and Publications;AnnualReport1993
9. Complaint of District Secretary of Bihar State Non-gazetted Employees Federation against 'Aaj' daily, Patna;September 9, 1992;Publication of rejoinder directed;Principles and Publications;AnnualReport1993
10. Complaint of Sh. Bisweshwar Hazarika against the Editor, Agradoot, Dispur;September 9, 1992;Publication of rejoinder directed;Principles and Publications;AnnualReport1993
11. Complaint of Sh. Suraj Yadav of Delhi against the Hindustan Times, New Delhi;September 9, 1992;Settled;Principles and Publications;AnnualReport1993
12. Complaint of the General Manager & Reporter of Bennett Coleman & Co. Ltd. New Delhi against 'The Vanguard', a Hindi-English daily of Dehradun, U.P.;September 9, 1992;Upheld;Principles and Publications;AnnualReport1993
13. Complaint of M/s. Cement Corpora-tion of India Ltd., New Delhi against the Editor, Parivartan Bharti, New Delhi;September 9, 1992;Settled;Principles and Publications;AnnualReport1993
14. Complaint of Sh. B K Tiwari, Execu-tive Editor, The Deshbandhu, Raipur against 'Madhya Pradesh Chronicle', Raipur;September 9, 1992;Rejected;Principles and Publications;AnnualReport1993
15. Complaint of Sh. PR Kapoor, Way Inspector, Northern Railway's, Kοι-kapura (Punjab) against 'Lakhtia Times' published from Kotkapura (Punjab);September 9, 1992;Upheld (warned);Principles and Publications;AnnualReport1993
16. Complaint of Shri Narinder Singh against Indian Express;September 9, 1992;Rejected (Trivial Infraction);Principles and Publications;AnnualReport1993
17. Complaint of Prof. Homeshwar Kokati, Lecturer of Physics, B. Barooh College, Guwahati against 'North East Times';January6, 1993;Upheld (censured);Principles and Publications;AnnualReport1993
18. Complaint of Secretary Consumer Protection Council Rourkela against The Times of India New Delhi issue dated 27.10.1991;January6, 1993;Rejected;Principles and Publications;AnnualReport1993
19. Complaint of Chief Executive, Chitralekha, a Gujarat: News Week-ly, Bombay against Abhiyan' a Gujarati weekly of Bombay;January6, 1993;Dismissed as trivial;Principles and Publications;AnnualReport1993
20. Complaint of M/s. Usha Rectifier against against Dalal Street Journal, Bombay;March 31, 1993;Upheld (Displeasure);Principles and Publications;AnnualReport1993
21. Complaint of Sh. G.N. Sharma against Mid-day, Bombay;March 31, 1993;Publication of clarification directed;Principles and Publications;AnnualReport1993
22. Complaint of Sh.K.C John, Direc-tor, Institute of Journalism, Thiruvananthapuram against Deepika;March 31, 1993;Upheld (Displeasure);Principles and Publications;AnnualReport1993
b. Complaint of the Sh. K.C. John, Director Institute of Journalism, Thiruvananthapuram against Mangalam;March 31, 1993;Upheld (Displeasure);Principles and Publications;AnnualReport1993
c. Complaint of Sh. K.C. John, Director Institute of Journalism, Thiruvananthapuram against Deshabhimani;March 31, 1993;Upheld (Displeasure);Principles and Publications;AnnualReport1993
d. Complaint of Sh.K.C John, Direc-tor, Institute of Journalism, Thiruvananthapuram Malayala Manorama against;March 31, 1993;Upheld (Displeasure);Principles and Publications;AnnualReport1993
e. Complaint of Sh.K.C John, Direc-tor, Institute of Journalism, Thiruvananthapuram against Kerala Kaumudi;March 31, 1993;Upheld (Displeasure);Principles and Publications;AnnualReport1993
f. Complaint of Sh. K.C John, Director Institute of Journalism, Thiruvananthapuram, against Mathrubhumi;March 31, 1993;Upheld (Displeasure);Principles and Publications;AnnualReport1993
g. Complaint of Sh. K.C John, Direc-tor, Institute of Journalism, Thiruvananthapuram against Indian Express;March 31, 1993;Upheld (Displeasure);Communal, Casteist and Anti-National Writings;AnnualReport1993
23. Complaint of Sh. Zameer Ahmed Jumlana, Member, Indian Union Muslim League, Delhi against Jansatta, Delhi;June 22, 1992;Dismissed for non-prosecution with observation;Communal, Casteist and Anti-National Writings;AnnualReport1993
24. Complaint of Deputy Secretary (Home) Delhi Admn. against 'The Daily Pratap' New Delhi;September9, 1992;Border line case observations;Communal, Casteist and Anti-National Writings;AnnualReport1993
"25. Complaint of Muslim Lekhakara Sangha, Mangalore against ""Taranga' a Kannada Weekly, Mangalore";Sept 9, 1992;Amends;Communal, Casteist and Anti-National Writings;AnnualReport1993
26. Complaint of Sh. U.S. Pandey, Telecom District Engineer, Bareilly against Dainik Jagran, Bareilly;Sept 9, 1992;Border line case observations.;Communal, Casteist and Anti-National Writings;AnnualReport1993
27. Complaint of Nayab Haider Rizvi, Editor, Dost Ki Baat, Hallor against 'Dainik Jagran' Gorakhpur, U.P.;Sept 9, 1992;Upheld (Cen-sured);Communal, Casteist and Anti-National Writings;AnnualReport1993
28. Complaint of Sh. Tapan K. Bose, Committee for Initiative on Kash-mir, New Delhi against Jansatta;Sept 9, 1992;Publication of rejoinder directed;Communal, Casteist and Anti-National Writings;AnnualReport1993
29. Complaint of Sh. H.N. Gohain, Professor of English, Guwahati University against Natun Dainik;Sept 9, 1992;Closed upon regret;Communal, Casteist and Anti-National Writings;AnnualReport1993
30. Complaint of Sh. Sukesh C Kajuria, President, National Youth Forum, Jammu against 'Kashmir Times' Jammu;January 6, 1993;Regret expressed;Communal, Casteist and Anti-National Writings;AnnualReport1993
