Complaint;Date;Status;ComplaintType;Report_name
﻿1.Complaint of Mrs. Priyanka Gandhi Vadra, New Delhi against The Editor, Today, English Daily, New Delhi.;June 28, 2005;Closed with advise;Principles and Publication;AnnualReport2006
2.Complaint of Shri Suresh Kumar Dua Rohtak, Haryana against Editor, Dainik Bhaskar, Panipat, Haryana. ’’ Disposed of;June 28, 2005;advise of caution;Principles and Publication;AnnualReport2006
3.Complaint of Shri Baldev Singh, Goindwal, Punjab against Editor, The Tribune, Chandigarh.  ’’ Dismissed being;June 28, 2005;devoid of merit;Principles and Publication;AnnualReport2006
4.Complaint of Ms. Savita Agarwal and Ms. Ritu Jain, Advocates, New Delhi against The Editor, Employment News, New Delhi  ’’ Closed with;June 28, 2005;directions;Principles and Publication;AnnualReport2006
5.Complaint of Shri P.K. Sengupta, Secretary,  Justice Mukherjee Commission for Inquiry, Kolkata against Ananda Bazar Patrika, Kolkata. ’’;June 28, 2005;Disposed of;Principles and Publication;AnnualReport2006
6.Complaint of M/s Bibaha Bandhani, Marriage Bureau and Marriage Registration Office, Kolkata against The Editor, Ananda Bazar Patrika, Kolkata. ’’;June 28, 2005;Disposed of;Principles and Publication;AnnualReport2006
7.Complaint of Shri J.V. Ramanan, Kolkata against The Editor, The Hindustan Times,;June 28, 2005;Kolkata.’’Closed;Principles and Publication;AnnualReport2006
8.Complaint of Shri Jayanta Deka and Others, Advocates of Mangaldai Town, Darrang, Assam against Editor, Sadin, Guwahati, Assam. ’’;June 28, 2005;Censured;Principles and Publication;AnnualReport2006
9.Complaint of Shri Achanta Bapiraju, Secunderabad, (Andhra Pradesh) against Deccan Chronicle, Hyderabad, Andhra Pradesh.;October 7, 2005;Directions;Principles and Publication;AnnualReport2006
10.Complaint of Shri K.N.K. Karthiayani, Chief Post Master General, Department of Posts, Kerala Circle, Thiruvananthapuram against Deshabhimani, Thiruvananthapuram. ’’ Grievance;October 7, 2005;ventilated;Principles and Publication;AnnualReport2006
11.Complaint of The Public Relations Offcer, Traffic Department, Industrial Relation Section, Tuticorin Port Trust, Tuticorin, Tamil Nadu against Financial Express, Chennai and PTI. ’’ Amends made;October 7, 2005;with advise;Principles and Publication;AnnualReport2006
12.Complaint of Shri Mathews Philip, Convenor Advocacy Unit, Campaign Against Child Labour, Karnataka, Bangalore against Deccan Herald, Bangalore. ’’;October 7, 2005;Censured;Principles and Publication;AnnualReport2006
13.Complaint of Shri S.M. Kulandaisamy, Madurai, Tamil Nadu against the editor, Dinamalar, Madurai, Tamil Nadu. ’’;October 7, 2005;Amends made;Principles and Publication;AnnualReport2006
14.Complaint of Shri S.M. Kulandaisamy, Madurai, Tamil Nadu against the editor, Dinamalar, Madurai, Tamil Nadu. ’’;October 7, 2005;Disposed of;Principles and Publication;AnnualReport2006
15.Complaint of Shri Ravi Gupta, Journalist, Chhattarpur, M.P. against Chhattarpur Bhramar, Chhatarpur, M.P;.February 9, 2006;Censured;Principles and Publication;AnnualReport2006
16.Complaint of Shri Rahman Azer, Editor, Nayab Publications, Bangalore against The Pioneer, New Delhi. ’’;.February 9, 2006;Upheld;Principles and Publication;AnnualReport2006
17.Complaint of Shri Vinod Kumar Yadav, Hanumangarh, Rajasthan against Rajasthan Patrika, Rajasthan. ’’ Settled;.February 9, 2006;;Principles and Publication;AnnualReport2006
18.Complaint of Dr. Om Prakash Bhandari and Smt. Radha Bhandari, Chittorgarh, Rajasthan against Surya Rath, Chittorgarh, Rajasthan.;June 28, 2005;Censured;Press and Defamation;AnnualReport2006
19.Complaint of Mrs. Manju Wadwalkar, Public Relations Officer, Post Graduate Institute of Medical Education and Research, Chandigarh against the Editor, The Indian Express. Complaint of Shri Hemanta Kumar Dash, Secretary, Jatiya Sabha Prathisthan, Baripada, Orissa against The Samaj, Buxibazar, Cuttack, Orissa. ’’;June 28, 2005;Withdrawn;Press and Defamation;AnnualReport2006
20.Complaint of Shri Hemanta Kumar Dash, Secretary, Jatiya Sabha Prathisthan, Baripada, Orissa against The Samaj, Buxibazar, Cuttack, Orissa. ’’ Disposed of with;June 28, 2005;Observation;Press and Defamation;AnnualReport2006
21.Complaint of Shri Sanjiv Jaiswal Puri, Champaran, Bihar against the Editor, Dainik Hindustan, Champaran, Bihar. ’’Disposed of;June 28, 2005;with direction;Press and Defamation;AnnualReport2006
22.Complaint of Dr. Narendra Kumar Singh Gaur, MLA and Ex Minister, U.P. Government Allahabad against the Editor, Dainik Amar Ujala, Allahabad. ’’;June 28, 2005;Dismissed;Press and Defamation;AnnualReport2006
23.Complaint of Shri Sudhir Tyadi, Ex-District  President, Congress Committee, Jyotiba Phule Nagar Nagar, U.P. against the Editor, Dainik Shah Times, Muzaffarnagar, U.P. ’’;June 28, 2005;Censured;Press and Defamation;AnnualReport2006
24.Complaint of Shri B.N. Upadhyaya, General Manager, (TT&A), BSNL, Jaipur, Rajasthan against Editor, Sajag Pratinidhi, Hindi Weekly, Jaipur, Rajasthan. ’’;June 28, 2005;Dismissed;Press and Defamation;AnnualReport2006
25.Complaint of Dr. Harminder Singh Kalra, Bijnor, U.P. against the Editor, Shah Times, Moradabad, U.P. ’’;June 28, 2005;Censured;Press and Defamation;AnnualReport2006
26.Complaint of Shri Makhan Singh and All Devotees of Param Deva Ashram, Jalandhar, Punjab against Editor, Sailaab, Punjabi Weekly, Hoshiarpur, Pujnab. ’’ Censured;June 28, 2005;;Press and Defamation;AnnualReport2006
27.Complaint of Shri Dilip Kumar Jain, Grocery Merchant, Lalitpur, U.P. against the Editor, Lalit Padam, Lalitpur, U.P.;June 28, 2005;Dismissed;Press and Defamation;AnnualReport2006
28.Complaint of Shri Gurdeep Singh and Ms. Kiranjyot, Chandigarh against Dasmesh Pita, Patiala, Punjab. ’’;June 28, 2005;Censured;Press and Defamation;AnnualReport2006
29.Complaint of Dr. N.P. Singh, N.P. Singh Hospital, Ambala City, Haryana against the Editor, The Indian Express, Chandigarh. ’’;June 28, 2005;Warned;Press and Defamation;AnnualReport2006
