Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Shri Rana Muneshwar Kumar Singh General Secretary, The Council of Renovation of India Cultu-ral Heritage, Gaya, Bihar against 'Hindustan', Hindi daily, patna, Bihar.;July 8, 1991;B;Principles and Publication;AnnualReport1992
2.Complaint of Sr. Cyrilla Superior Fran-ciscans of St. Mary of the Angels, Snehasadan and Father Flacido Fonseca, Andheri, Director, 'Snehasadan' Bombay against four Bombay papers namely, Indian Express, Times of India Samna and Free Press Journal.;July 9, 1991;A;Principles and Publication;AnnualReport1992
6. Complaint of Dr. Purna Narayan Sinha, President, North East Journalist Forum against 'Action Weekly News Maga-zine', Dispur. Sept. 23, 1991;July 9, 1991;A;Principles and Publication;AnnualReport1992
7. Complaint of Shri Kirpal Singh. Ludhiana against Shri V.N. Narayanan, Editor-in-Chief, The Tribune, Chandi-garh.;July 9, 1991;B;Principles and Publication;AnnualReport1992
8. Complaint of Shri Bansi Lal against The Times of India, New Delhi issue dated May 10, 1990.;July 9, 1991;A;Principles and Publication;AnnualReport1992
9. Complaint of Shri Harkishan Singh Surjeet, Member, Polit Bureau against Indian Express, New Delhi.;July 9, 1991;A;Principles and Publication;AnnualReport1992
10. Complaint of Shri Madhu Limaye C. P. I. (M) against Indian Express, New Delhi.;September 23, 1991;A;Principles and Publication;AnnualReport1992
11. Complaint of 'Deshbandhu', Raipur through its Editor, Shri Lalit Surjan against Nava Bharat, Raipur.;January 13, 1992;A;Principles and Publication;AnnualReport1992
12. Complaint of Shri Lalit Surjan, Editor, Deshbandhu against Nava Bharat, Raipur.;January 13, 1992;B;Principles and Publication;AnnualReport1992
13. Complaint of Shri Surendra Nath, Labour Commissioner, Indore against Shri Jawaharlal Rathor, a working journalist.;January 13, 1992;B;Principles and Publication;AnnualReport1992
14. Complaint of Shri Madhu Limaye against Shri Arun Shourie, Former Editor, Indian Express, New Delhi for an article encaptioned 'The further parallel' in its issue dated 4. 8. 1990.;January 13, 1992;B;Principles and Publication;AnnualReport1992
15. Complaint of Smt. Radha Tiwari, PCS (J), Delhi against the Editor, 'Public India, New Delhi for plagiarism of an article in its issue dated 1-15 Sept., 1990.; January 13,1992;C;Principles and Publication;AnnualReport1992
16. Complaint of Smt. Radha Tiwari, PCS(J), Delhi against Editor, Public India, New Delhi for two articles in its issues dated 1-15 Sept. 1990 and Oct. 1-15, 1990.; January 13,1992;C;Principles and Publication;AnnualReport1992
17. Complaint of Shri V. P. Malik, Akola against India Today, New Delhi.;March 26, 1992;B;Principles and Publication;AnnualReport1992
18. Complaint of Shri Gurbir Singh, General Secretary, Bombay Union of Journalists, The Times of India, New Delhi.;March 26, 1992;B;Principles and Publication;AnnualReport1992
19. Complaint of Prof. M. N. Faruqui, Vice Chancellor, Aligarh Muslim Uni-versity, Aligarh against Aaj, Hindi daily, Agra.;July 8, 1991;A;Communal, Casteist and Anti-National Writings;AnnualReport1992
20. Complaint of Major General E. D'Souza, PVSM (Retd.), Executive Director, National Convention Catho-lics against Sunday Mail.;September 23, 1991;A;Communal, Casteist and Anti-National Writings;AnnualReport1992
21. Complaint of Shri R. L. Kain, General Secretary, Dr. B.R. Ambedkar Vichar Manch against Nav Bharat Times, New Delhi. Jan. 13, 1992;September 23, 1991;B;Communal, Casteist and Anti-National Writings;AnnualReport1992
