Complaint;Date;Status;ComplaintType;Report_name
﻿1. Complaint of Sh. Hari C. Polavarapu against India Week.;July 12, 1990;A;Principles and Publication;AnnualReport1991
2. Complaint of Sh. Ramesh Kumar Bhawani against Dainik Bhaskar, Indore.;July 12, 1990;B;Principles and Publication;AnnualReport1991
3. Complaint of Mrs. R. Mary against Dinamani;July 12, 1990;D;Principles and Publication;AnnualReport1991
4. Complaint of Sh. Saravjeet Narain against The Times of India, Patna.;July 12, 1990;B;Principles and Publication;AnnualReport1991
5. Complaint of Sh. Rana Muneshwar Kumar Singh against Nav Bharat Times, Patna edition.;July 12, 1990;B;Principles and Publication;AnnualReport1991
6. Complaint of St. Susheel Somani, Managing Director, G. Claridge and Company, Bombay against 'The Tribune' Chandigarh.;November 5, 1990;C;Principles and Publication;AnnualReport1991
7. Complaint of Sh. Ashok Kumar Shukla against the Editor, Comparative Physiology and Ecology, Jodhpur.;November 5, 1990;D;Principles and Publication;AnnualReport1991
8. Complaint of Editor, University Today, New Delhi against Sh. Arun Shourie, Editor, 'Indian Express', New Delhi.;November 5, 1990;A;Principles and Publication;AnnualReport1991
9. Complaint of Sh. G. P. Agarwal, Agra against Amar Ujala, Agra.;November 5, 1990;B;Principles and Publication;AnnualReport1991
10. Complaint of Sh. Chandramani Nayak against the Samaj, Cuttack.;November  5,1990;A;Principles and Publication;AnnualReport1991
11. Complaint of Sh. Mohan Nagpal, President, Punjab Union of Journalists and Editor, Daily Pilot, Bhatinda against Indian Express, Chandigarh.;November  5,1990;B;Principles and Publication;AnnualReport1991
12. Complaint of Sh. M. A. Sattar, Director, Directorate of Information & Public Relations, Govt. of Manipur against the Editor, Manipur News.;November  5,1990;A;Principles and Publication;AnnualReport1991
13. Complaint of Sh. M. A. Sattar, Director, Directorate of Information & Public Relations, Govt. of Manipur against the Editor, Ching Tam.;November  5,1990;A;Principles and Publication;AnnualReport1991
14. Complaint of Sh. R. R. Dalavi, Chairman, Provincial Consumers' Association, Madras against The Hindu.;November  5,1990;B;Principles and Publication;AnnualReport1991
15. Complaint of Sh. Charanjit Kumar, General Secretary, Handicapped Welfare Committee, Jind against 'Punjab Kesari', Jalandhar.;January 21, 1991;B;Principles and Publication;AnnualReport1991
16. Complaint of Sh. S. Sankaranarayan against 'Indian Express', Bombay.;March 20, 1991;A;Principles and Publication;AnnualReport1991
17. Complaint of Sh. Narendra Talwar against 'Vidrohi', Delhi.;March 20, 1991;A;Principles and Publication;AnnualReport1991
"18. Complaint of Sh. Lalit Mohan Gautam, Advocate against the Editor, 'Indian Express', New Delhi for an article encaptioned: ""The Conspirator as Referee' in its issue dated July 10, 1988.";March 20, 1991;B;Principles and Publication;AnnualReport1991
19. Complaint of Sh. S. M. Khan, Information Officer, CBI against Blitz.;A;Communal Castiest and Anti-National Writings;Principles and Publication;AnnualReport1991
20. Complaint of Sh. D. R. Tamta, Deputy Secretary (Home) Delhi Admn. against 'Islami Express'.;July12,1990;A;Principles and Publication;AnnualReport1991
21. Complaint of Sh. Mangat Rai Danav, Gen. Secretary, Bharatiya Valmiki Dharma Samaj, Malot against 'Sarita'.;July12,1990;A;Principles and Publication;AnnualReport1991
22. Complaint of Sh. D. R. Tamta, Deputy Secretary (Home G) Delhi Administration against 'Faisal-e-Jadeed'.;July12,1990;A;Principles and Publication;AnnualReport1991
23. Complaint of Sh. K. Vijaya Rama Rao, Commissioner of Police, Hyderabad against The Sunday Weekly'.;November 5,1990;A;Principles and Publication;AnnualReport1991
