Person;Affiliation;PrimaryKey
Resident Editor;and the Prabhat Khabar;157
Owner; Prabhat Khabar;157
Editor; Dainik Bhaskar;163
Editor; Indian Express;164
Editor; Dainik Jagran;165
Dainik Bhaskar;and Haribhumi;166
Dainik Bhaskar;and Haribhumi;167
Editor; Hindustan Times;168
Shri Manoj Kumar; Sun Elegant;169
Shri Vijay Kaushik; Under Secretary Ministry of I&B;170
Editor; Press Trust of India;170
Member Secretary; Prakriti;172
Editor; The Samaj;172
Ms. Nanita Sharma; Advocate Supreme Court of India;173
Editor; The Hindustan Times;173
Shri Jasveer Singh Khalsa; Publisher Nirvair Samachar;174
Shri B. Sanjay Kumar Saxena; Adv. Hyderabad;176
Editor; The Hindu;176
Shri Sarup Chand Singla; Bathinda Through Returning Officer-cum-Sub-Divisional Magistrate;177
Editor; Dainik Pilot;177
Sh. HukumDev Narayan Yadav; MP;178
The Editor; Dainik Bhaskar;178
The Editor; Navbharat Times;179
The Editor; Hindustan Times;180
The Editor; Dainik Jagran;181
The Editor; Rajasthan Patrika;183
The Editor; Dainik Jagran;184
The Editor; Spiritz Magazine;185
Sh. K.B. Sinha; AYUSH;186
Under Secretary; AYUSH;186
The Editor; Pune Mirror;186
Ms.Sheela Tirkey; Under Secretary AYUSH;187
The Editor; Times of India;187
The Editor; Economic Times;190
Shri Akhtar Hussain Akhtar; Member All India Majlis-eIttehad-ul Muslimeen;191
Editor; The Inquilab;191
Editor; Dainik Jagran;192
Editor; Hindustan Samachar;193
Shri K.B. Sinha; Under Secretary Ministry of Ayurveda Yoga & Naturopathy;194
Editor; Times of India;194
Shri Yograj Sharma; Area Manager Food Corporation of India;195
Editor; Hindustan;195
Shri Yograj Sharma; Area Manager Food Corporation of India;196
Editor; Dainik Jagran;196
Editor; Amar Ujala;199
Editor; The Indian Express;200
Editor; Voice of Lucknow;202
Editor; Kanji Times;203
Editor; Rahat Times Lucknow;204
Editors; Swatantra Bharat;206
Editor; Dainik Jagran;208
Editor; Jansandesh Times;209
Editor; Times of India;210
Shri Shatrujeet Kapur; IPS;211
Editors; Central Chronicle;214
Editor; Khabar Expose;218
Dr. Rajesh Sharma; Director NarmadaTrama Center;220
Editor; Pradesh Today;220
Shri P. Kumar; General Secretary Vindhyachal Urja Mazdoor Union;221
Editor; Bhaskar Prakashan Pvt. Ltd.;221
Smt. Seema Chauhan; President Matra Shakti Sangathan;222
Editor; Hindi Gazette;222
Editor; Patrika;223
Editor; Patrika;224
Editor; Hindsat;226
Shri Dinesh Dubey; Manager Shah Rajya Pariyojna;228
Editors; Next Future;230
Shri Anand Dev Singh; Prasar Bharti;231
Deputy Director; Prasar Bharti;231
Shri Anand Dev Singh; Prasar Bharti;232
Deputy Director; Prasar Bharti;232
Editors; Hindustan;232
Shri Anand Dev Singh; Prasar Bharti;233
Deputy Director; Prasar Bharti;233
Shri Naim Ahmed;Associate Professor Department of Community Medicine & Public Health;234
Editor; Daily News Activist;234
Shri Naim Ahmed;Associate Professor Department of Community Medicine & Public Health;235
Editor; Dainik Jagran Limited;235
Shri Naim Ahmed;Associate Professor Department of Community Medicine & Public Health;236
Editor; Nav Bharat Times;236
Shri Naim Ahmed;Associate Professor Department of Community Medicine & Public Health;237
Editor; Rastriya Sahara;237
Shri Naim Ahmed;Associate Professor Department of Community Medicine & Public Health;238
Shri Naim Ahmed;Associate Professor Department of Community Medicine & Public Health;239
Editor; Dainik Jagran;239
Shri Naim Ahmed;Associate Professor Department of Community Medicine & Public Health;240
Editor; Hindustan;240
Editor; Hindustan;243
Edittor; Amar Ujala Press;244
Editor; Dainik Jagran;245
Dr. Satish Kumar; IPS;246
Editor; Dainik Jagran;246
Editor; Shah Times;247
Editor; News Trap;248
Shri Kushalpal Singh; Employees Association;249
Editor; Dainik U.P. News Express;249
Editor; Sansani Investigator;250
Editor; Dainik U.P. News Express;251
Shri Rajiv Srivastava; Meerut Council;252
Editor; Dainik Pratigya;252
Editor; Dainik Bhaskar;253
Shri Harender Chaudhary; Director Ironman Security Services Pvt. Ltd;254
Editor; Dainik U.P. News Express;254
